GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,
1.97407E+11,7/5/74,France,Toulouse,International Revolutionary Action Group (GARI),0,,,,,Unknown,Unknown,Business,,,Western Europe,Armed Assault,,,Firearms,,,,
1.97406E+11,6/11/74,United States,Union City,Chicano Liberation Front,1,,,,,1,4,Police,Private Citizens & Property,,North America,Armed Assault,,,Firearms,,,,
1.97405E+11,5/16/74,United States,Los Angeles,Symbionese Liberation Army (SLA),0,,,,,0,0,Business,,,North America,Armed Assault,,,Firearms,,,,
1.97405E+11,5/3/74,United States,New Haven,Black Liberation Army,0,,,,,0,1,Business,,,North America,Armed Assault,,,Firearms,,,,
1.97404E+11,4/17/74,United States,New York City,Black Liberation Army,0,,,,,0,0,Police,,,North America,Armed Assault,,,Firearms,,,,
1.97404E+11,4/16/74,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97404E+11,4/15/74,United States,San Francisco,Symbionese Liberation Army (SLA),0,,,,,0,0,Business,,,North America,Armed Assault,,,Firearms,,,,
1.97404E+11,4/14/74,United States,San Francisco,Zebra killers,0,,,,,0,2,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97404E+11,4/13/74,United States,Miami,Secret Organization Zero,0,,,,,1,0,Government (General),,,North America,Assassination,,,Firearms,,,,
1.97404E+11,4/4/74,France,Toulouse,International Revolutionary Action Group (GARI),0,,,,,Unknown,Unknown,Business,,,Western Europe,Armed Assault,,,Firearms,,,,
1.97404E+11,4/1/74,United States,San Francisco,Zebra killers,0,,,,,1,1,NGO,,,North America,Armed Assault,,,Firearms,,,,
1.97402E+11,2/23/74,France,Toulouse,International Revolutionary Action Group (GARI),0,,,,,0,1,Government (Diplomatic),,,Western Europe,Assassination,,,Firearms,,,,
1.97402E+11,2/4/74,United States,New York City,Black Muslims,0,,,,,4,0,Religious Figures/Institutions,Private Citizens & Property,,North America,Assassination,,,Firearms,,,,
1.97401E+11,1/28/74,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97401E+11,1/28/74,United States,San Francisco,Zebra killers,0,,,,,0,1,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97401E+11,1/28/74,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97401E+11,1/28/74,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97401E+11,1/28/74,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97312E+11,12/22/73,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97312E+11,12/22/73,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97312E+11,12/20/73,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97312E+11,12/20/73,United States,San Francisco,Zebra killers,0,,,,,0,1,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97312E+11,12/13/73,United States,San Francisco,Zebra killers,0,,,,,0,1,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97312E+11,12/13/73,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97312E+11,12/11/73,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97311E+11,11/26/73,United States,Gadsden,Ku Klux Klan,1,,,,,1,0,Private Citizens & Property,,,North America,Assassination,,,Firearms,,,,
1.97311E+11,11/25/73,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.97311E+11,11/6/73,United States,Oakland,Symbionese Liberation Army (SLA),0,,,,,1,0,Educational Institution,,,North America,Assassination,,,Firearms,Chemical,,,
1.9731E+11,10/29/73,United States,San Francisco,Zebra killers,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.9731E+11,10/22/73,United States,San Francisco,Zebra killers,0,,,,,0,1,Private Citizens & Property,,,North America,Hostage Taking (Kidnapping),Armed Assault,,Firearms,,,,
1.9731E+11,10/20/73,United States,San Francisco,Zebra killers,0,,,,,1,1,Private Citizens & Property,,,North America,Hostage Taking (Kidnapping),Armed Assault,,Firearms,Melee,Melee,,
1.9731E+11,10/18/73,United States,Newark,Black Muslims,1,,,,,2,0,Private Citizens & Property,,,North America,Assassination,,,Firearms,Melee,Melee,,
1.97309E+11,9/18/73,United States,Edison,Black Muslims,1,,,,,2,0,Private Citizens & Property,,,North America,Assassination,,,Firearms,,,,
1.97309E+11,9/5/73,France,Paris,Black September,0,,,,,0,0,Government (Diplomatic),,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,,,,
1.97309E+11,9/4/73,United States,Newark,Unknown,0,,,,,1,0,Religious Figures/Institutions,,,North America,Assassination,,,Firearms,,,,
1.97307E+11,7/18/73,United States,New York City,Black Liberation Army,0,,,,,0,0,Business,,,North America,Hostage Taking (Barricade Incident),,,Firearms,,,,
1.97307E+11,7/1/73,United States,Bethesda,Popular Front for the Liberation of Palestine (PFLP),1,,,,,1,0,Government (Diplomatic),,,North America,Assassination,,,Firearms,,,,
1.97306E+11,6/5/73,United States,New York City,Black Liberation Army,0,,,,,1,0,Police,,,North America,Armed Assault,,,Firearms,,,,
1.97305E+11,5/19/73,United States,Mount Vernon,Black Liberation Army,0,,,,,2,0,Police,,,North America,Armed Assault,,,Firearms,,,,
1.97305E+11,5/1/73,United States,New York City,Unknown,0,,,,,1,0,NGO,,,North America,Assassination,,,Firearms,,,,
